Game,Category,Points,Question,Answer
"Endocrinology & Metabolism, Gastroenterology & Hepatology, Biostatistics & Epidemiology",N/A,N/A,"Q: Common cause of hypothyroidism, associated with anti–thyroid peroxidase antibodies

Show Answer


ENDO: 10	Score: 0","A: Hashimoto thyroiditis


 


ENDO: 10	Score: 0"
"Endocrinology & Metabolism, Gastroenterology & Hepatology, Biostatistics & Epidemiology",N/A,N/A,"Q: Statistical term describing the likelihood that any observed difference between two variables is due to chance

Show Answer


BIOSTA: 10	Score: 10","A: P value


 


BIOSTA: 10	Score: 10"
"Endocrinology & Metabolism, Gastroenterology & Hepatology, Biostatistics & Epidemiology",N/A,N/A,"Q:
Virus associated with porphyria cutanea tarda, mixed cryoglobulinemia, membranoproliferative glomerulonephritis and non-Hodgkin's lymphoma

   [ image ]





     220
     Show Answer



GASTRO: 20
Score: 20","A: Hepatitis C


 


GASTRO: 20	Score: 20"
"Endocrinology & Metabolism, Gastroenterology & Hepatology, Biostatistics & Epidemiology",N/A,N/A,"Q:
Most common manifestation of primary aldosteronism

   [ image ]





     130
     Show Answer



ENDO: 30
Score: 40","A: Hypertension


 


ENDO: 30	Score: 40"
"Endocrinology & Metabolism, Gastroenterology & Hepatology, Biostatistics & Epidemiology",N/A,N/A,"Q: An error that rejects a true null hypothesis

Show Answer


BIOSTA: 30	Score: 70","A: Type I or alpha error


 


BIOSTA: 30	Score: 70"
"Endocrinology & Metabolism, Gastroenterology & Hepatology, Biostatistics & Epidemiology",N/A,N/A,"Q:
Angiotensin receptor blocker associated with celiac-like enteropathy

   [ image ]





     240
     Show Answer



GASTRO: 40
Score: 100","A: Olmesartan


 


GASTRO: 40	Score: 100"
"Endocrinology & Metabolism, Gastroenterology & Hepatology, Biostatistics & Epidemiology",N/A,N/A,"Q:
Eponymous physical exam finding of facial congestion and cyanosis when both arms are elevated overhead for one minute in patients with thoracic outlet syndrome

   [ image ]





     150
     Show Answer



ENDO: 50
Score: 140","A: Pemberton sign


 


ENDO: 50	Score: 140"
"Endocrinology & Metabolism, Gastroenterology & Hepatology, Biostatistics & Epidemiology",N/A,N/A,"Q:
Number needed to treat for a drug that reduces absolute risk by 10% vs placebo

   [ image ]





     350
     Show Answer



BIOSTA: 50
Score: 190","A: 10


 


BIOSTA: 50	Score: 190"
"Allergy & Immunology, Cardiovascular Medicine, Dermatology",N/A,N/A,"Q: Route of administration of epinephrine when treating anaphylaxis

Show Answer


ALLRGY: 10	Score: 0","A: Intramuscular


 


ALLRGY: 10	Score: 0"
"Allergy & Immunology, Cardiovascular Medicine, Dermatology",N/A,N/A,"Q:
Diagnostic gold standard test for allergic contact dermatitis

   [ image ]





     310
     Show Answer



DERM: 10
Score: 10","A: Patch test


 


DERM: 10	Score: 10"
"Allergy & Immunology, Cardiovascular Medicine, Dermatology",N/A,N/A,"Q:
Inherited CV disease whose features include asymmetrical LV septal thickness and myocardial fibrosis

   [ image ]





     220
     Show Answer



CARDIO: 20
Score: 20","A: Hypertrophic cardiomyopathy (HCM); also accept Hypertrophic obstructive cardiomyopathy (HOCM)


 


CARDIO: 20	Score: 20"
"Allergy & Immunology, Cardiovascular Medicine, Dermatology",N/A,N/A,"Q:
Morbilliform drug eruption is most likely this type of hypersensitivity reaction

   [ image ]





     130
     Show Answer



ALLRGY: 30
Score: 40","A: Delayed type IV


 


ALLRGY: 30	Score: 40"
"Allergy & Immunology, Cardiovascular Medicine, Dermatology",N/A,N/A,"Q: The appearance of new psoriatic lesions after mechanical irritation

Show Answer


DERM: 30	Score: 70","A: Koebner phenomenon (also accept isomorphic response)


 


DERM: 30	Score: 70"
"Allergy & Immunology, Cardiovascular Medicine, Dermatology",N/A,N/A,"Q:
Used to treat breast cancer, class of chemotherapy drug associated with cardiomyopathy

   [ image ]





     240
     Show Answer



CARDIO: 40
Score: 100","A: Anthracycline


 


CARDIO: 40	Score: 100"
"Allergy & Immunology, Cardiovascular Medicine, Dermatology",N/A,N/A,"Q: Hepatitis B status for a patient who tests positive for HBsAg, total anti-HBc, and anti-HBe but is negative for HBeAg

Show Answer


ALLRGY: 50	Score: 140","A: Inactive chronic HBV (carrier phase)


 


ALLRGY: 50	Score: 140"
"Allergy & Immunology, Cardiovascular Medicine, Dermatology",N/A,N/A,"Q: Photosensitive eruption strongly associated with a positive anti-Ro/SSA antibody

Show Answer


DERM: 50	Score: 190","A: Subacute cutaneous lupus erythematosus


 


DERM: 50	Score: 190"
"Rheumatology, Dermatology, History of Medicine",N/A,N/A,"Q: HLA subtype positive in 92% of White persons with axial spondyloarthritis

Show Answer


RHEUM: 10	Score: 0","A: HLA-B27 (accept B27)


 


RHEUM: 10	Score: 0"
"Rheumatology, Dermatology, History of Medicine",N/A,N/A,"Q:
Nursing namesake for the palpable umbilical nodule indicative of metastatic cancer

   [ image ]





     310
     Show Answer



HISTRY: 10
Score: 10","A: Sister Mary Joseph (accept Julia Dempsey or Dempsey)


 


HISTRY: 10	Score: 10"
"Rheumatology, Dermatology, History of Medicine",N/A,N/A,"Q:
Painful vesicular rash in the first division of the trigeminal nerve

   [ image ]





     220
     Show Answer



DERM: 20
Score: 20","A: Herpes zoster ophthalmicus (accept HZO, ophthalmic zoster, NOT Ramsay Hunt)


 


DERM: 20	Score: 20"
"Rheumatology, Dermatology, History of Medicine",N/A,N/A,"Q:
Condition characterized by objective keratoconjunctivitis sicca and xerostomia with autoantibodies

   [ image ]





     130
     Show Answer



RHEUM: 30
Score: 40","A: Sjögren syndrome


 


RHEUM: 30	Score: 40"
"Rheumatology, Dermatology, History of Medicine",N/A,N/A,"Q:
1990 Nobel laureate who performed the first human kidney transplantation in the U.S.

   [ image ]





     330
     Show Answer



HISTRY: 30
Score: 70","A: Joseph Edward Murray (accept Joseph Murray or Murray)


 


HISTRY: 30	Score: 70"
"Rheumatology, Dermatology, History of Medicine",N/A,N/A,"Q:
Severe form of mite-induced, face-sparing skin disease that occurs most often in the immunocompromised or elderly

   [ image ]





     240
     Show Answer



DERM: 40
Score: 100","A: Crusted scabies (accept Norwegian scabies, but not simply scabies)


 


DERM: 40	Score: 100"
"Rheumatology, Dermatology, History of Medicine",N/A,N/A,"Q:
Antibodies against this nuclear enzyme put scleroderma patients at highest risk of cancer within 3 years of disease onset

   [ image ]





     150
     Show Answer



RHEUM: 50
Score: 140","A: RNA pol III (RNA polymerase III)


 


RHEUM: 50	Score: 140"
"Rheumatology, Dermatology, History of Medicine",N/A,N/A,"Q:
Class of oncologic medication whose discovery earned Professor James Allison the Nobel Prize in Physiology or Medicine in 2018

   [ image ]





     350
     Show Answer



HISTRY: 50
Score: 190","A: Immune checkpoint inhibitors


 


HISTRY: 50	Score: 190"
"Endocrinology & Metabolism, Gastroenterology & Hepatology, Pharmacology",N/A,N/A,"Q: Diagnosis with low TSH but normal T4 and T3 levels

Show Answer


ENDO: 10	Score: 0","A: Subclinical hyperthyroidism


 


ENDO: 10	Score: 0"
"Endocrinology & Metabolism, Gastroenterology & Hepatology, Pharmacology",N/A,N/A,"Q:
Blood pressure medication that lowers uric acid

   [ image ]





     310
     Show Answer



PHARM: 10
Score: 10","A: Losartan (accept Cozaar)


 


PHARM: 10	Score: 10"
"Endocrinology & Metabolism, Gastroenterology & Hepatology, Pharmacology",N/A,N/A,"Q:
Bacteria, eradication of which is key to the treatment of MALT lymphoma

   [ image ]





     220
     Show Answer



GASTRO: 20
Score: 20","A: Helicobacter pylori (accept H. pylori)


 


GASTRO: 20	Score: 20"
"Endocrinology & Metabolism, Gastroenterology & Hepatology, Pharmacology",N/A,N/A,"Q:
Monoclonal antibody that inhibits osteoclast activation

   [ image ]





     130
     Show Answer



ENDO: 30
Score: 40","A: Denosumab


 


ENDO: 30	Score: 40"
"Endocrinology & Metabolism, Gastroenterology & Hepatology, Pharmacology",N/A,N/A,"Q:
More potent opioid that results from hepatic cytochrome P450 2D6 conversion of hydrocodone

   [ image ]





     330
     Show Answer



PHARM: 30
Score: 70","A: Hydromorphone


 


PHARM: 30	Score: 70"
"Endocrinology & Metabolism, Gastroenterology & Hepatology, Pharmacology",N/A,N/A,"Q:
Organ serving as a reservoir for chronic Salmonella typhi infection

   [ image ]





     240
     Show Answer



GASTRO: 40
Score: 100","A: Gallbladder


 


GASTRO: 40	Score: 100"
"Endocrinology & Metabolism, Gastroenterology & Hepatology, Pharmacology",N/A,N/A,"Q: Required cancer screening in individuals with growth hormone excess

Show Answer


ENDO: 50	Score: 140","A: Colonoscopy (accept colon cancer screening)


 


ENDO: 50	Score: 140"
"Endocrinology & Metabolism, Gastroenterology & Hepatology, Pharmacology",N/A,N/A,"Q: Antiarrhythmic medication associated with drug-induced lupus and antihistone antibodies

Show Answer


PHARM: 50	Score: 190","A: Procainamide


 


PHARM: 50	Score: 190"
"Dermatology, History of Medicine, Cardiovascular Medicine",N/A,N/A,"Q: Most common cause of skin cancer in solid organ transplant recipients

Show Answer


DERM: 10	Score: 0","A: Squamous cell cancer


 


DERM: 10	Score: 0"
"Dermatology, History of Medicine, Cardiovascular Medicine",N/A,N/A,"Q:
Office measurement to identify lower extremity peripheral artery disease

   [ image ]





     310
     Show Answer



CARDIO: 10
Score: 10","A: Ankle-brachial index (accept ABI)


 


CARDIO: 10	Score: 10"
"Dermatology, History of Medicine, Cardiovascular Medicine",N/A,N/A,"Q:
French physician who invented the stethoscope

   [ image ]





     220
     Show Answer



HISTRY: 20
Score: 20","A: René Laënnec (accept Laënnec)


 


HISTRY: 20	Score: 20"
"Dermatology, History of Medicine, Cardiovascular Medicine",N/A,N/A,"Q:
Rash typically associated with end-stage renal disease and high PTH levels

   [ image ]





     130
     Show Answer



DERM: 30
Score: 40","A: Calciphylaxis


 


DERM: 30	Score: 40"
"Dermatology, History of Medicine, Cardiovascular Medicine",N/A,N/A,"Q:
First FDA-approved oral direct thrombin inhibitor

   [ image ]





     330
     Show Answer



CARDIO: 30
Score: 70","A: Dabigatran (accept Pradaxa)


 


CARDIO: 30	Score: 70"
"Dermatology, History of Medicine, Cardiovascular Medicine",N/A,N/A,"Q:
Strain responsible for the Great Influenza pandemic of 1918

   [ image ]





     240
     Show Answer



HISTRY: 40
Score: 100","A: H1N1 (accept H1N1 influenza A, but do NOT accept influenza A)


 


HISTRY: 40	Score: 100"
"Dermatology, History of Medicine, Cardiovascular Medicine",N/A,N/A,"Q:
Metal whose ingestion causes blue skin discoloration

   [ image ]





     150
     Show Answer



DERM: 50
Score: 140","A: Silver


 


DERM: 50	Score: 140"
"Dermatology, History of Medicine, Cardiovascular Medicine",N/A,N/A,"Q:
Eponymous congenital heart disease presenting as severe pulmonary hypertension resulting in right-to-left shunt reversal

   [ image ]





     350
     Show Answer



CARDIO: 50
Score: 190","A: Eisenmenger syndrome


 


CARDIO: 50	Score: 190"
"Allergy & Immunology, Cardiovascular Medicine, Critical Care",N/A,N/A,"Q: Molecule that mediates swelling in hereditary angioedema

Show Answer


ALLRGY: 10	Score: 0","A: Bradykinin


 


ALLRGY: 10	Score: 0"
"Allergy & Immunology, Cardiovascular Medicine, Critical Care",N/A,N/A,"Q:
Name of ventilator pressure required to promote alveolar recruitment and increase aerated lung volume

   [ image ]





     310
     Show Answer



CRIT: 10
Score: 10","A: Positive end-expiratory pressure (accept PEEP)


 


CRIT: 10	Score: 10"
"Allergy & Immunology, Cardiovascular Medicine, Critical Care",N/A,N/A,"Q:
Ejection fraction cutoff for the diagnosis of heart failure with reduced ejection fraction

   [ image ]





     220
     Show Answer



CARDIO: 20
Score: 20","A: 40%


 


CARDIO: 20	Score: 20"
"Allergy & Immunology, Cardiovascular Medicine, Critical Care",N/A,N/A,"Q:
Disease in which hives are triggered by increased core body temperature

   [ image ]





     130
     Show Answer



ALLRGY: 30
Score: 40","A: Cholinergic urticaria (accept generalized heat urticaria, cholinergic angioedema, or heat bumps)


 


ALLRGY: 30	Score: 40"
"Allergy & Immunology, Cardiovascular Medicine, Critical Care",N/A,N/A,"Q:
Ratio of spontaneous tidal volume to respiratory rate used in ventilator weaning

   [ image ]





     330
     Show Answer



CRIT: 30
Score: 70","A: Tobin index (also accept Tobin ratio, Yang Tobin index, rapid shallow breathing index [RSBI])


 


CRIT: 30	Score: 70"
"Allergy & Immunology, Cardiovascular Medicine, Critical Care",N/A,N/A,"Q:
Sinoatrial node modulator approved by the FDA for the treatment of heart failure with reduced ejection fraction

   [ image ]





     240
     Show Answer



CARDIO: 40
Score: 100","A: Ivabradine (accept Procoralan or Corlanor)


 


CARDIO: 40	Score: 100"
"Allergy & Immunology, Cardiovascular Medicine, Critical Care",N/A,N/A,"Q: Primary immunodeficiency in a person >4 years old with lack of vaccine response and low IgG and IgA without another cause found

Show Answer


ALLRGY: 50	Score: 140","A: Common variable immunodeficiency


 


ALLRGY: 50	Score: 140"
"Allergy & Immunology, Cardiovascular Medicine, Critical Care",N/A,N/A,"Q:
Antihistamine used in the treatment of serotonin syndrome

   [ image ]





     350
     Show Answer



CRIT: 50
Score: 190","A: Cyproheptadine (accept Periactin)


 


CRIT: 50	Score: 190"
"Nephrology, Oncology, Rheumatology",N/A,N/A,"Q: Nonsulfonamide loop diuretic

Show Answer


NEPHRO: 10	Score: 0","A: Ethacrynic acid


 


NEPHRO: 10	Score: 0"
"Nephrology, Oncology, Rheumatology",N/A,N/A,"Q:
American College of Rheumatology recommended target urate level for urate-lowering therapy in gout

   [ image ]





     310
     Show Answer



RHEUM: 10
Score: 10","A: Less than 6 mg/dL (accept 6)


 


RHEUM: 10	Score: 10"
"Nephrology, Oncology, Rheumatology",N/A,N/A,"Q:
Herpesvirus implicated in nasopharyngeal carcinoma and certain forms of lymphoma

   [ image ]





     220
     Show Answer



ONCLGY: 20
Score: 20","A: Epstein-Barr virus (accept EBV, human herpes virus 4, or HHV-4)


 


ONCLGY: 20	Score: 20"
"Nephrology, Oncology, Rheumatology",N/A,N/A,"Q:
Nonantibiotic medication believed to be the #1 cause of interstitial nephritis in the U.S.

   [ image ]





     130
     Show Answer



NEPHRO: 30
Score: 40","A: Proton pump inhibitors


 


NEPHRO: 30	Score: 40"
"Nephrology, Oncology, Rheumatology",N/A,N/A,"Q:
Rare bacterial infection characterized by weight loss, chronic nonbloody diarrhea, migratory arthralgias, and abdominal pain

   [ image ]





     330
     Show Answer



RHEUM: 30
Score: 70","A: Whipple disease


 


RHEUM: 30	Score: 70"
"Nephrology, Oncology, Rheumatology",N/A,N/A,"Q:
Stage of colon cancer with the best demonstrated survival benefit for adjuvant chemotherapy

   [ image ]





     240
     Show Answer



ONCLGY: 40
Score: 100","A: Stage III (node-positive)


 


ONCLGY: 40	Score: 100"
"Nephrology, Oncology, Rheumatology",N/A,N/A,"Q:
Sexually transmitted infection that can cause nephrotic-range proteinuria via membranous glomerulonephritis

   [ image ]





     150
     Show Answer



NEPHRO: 50
Score: 140","A: Syphilis


 


NEPHRO: 50	Score: 140"
"Nephrology, Oncology, Rheumatology",N/A,N/A,"Q:
Microbe responsible for aquarium granuloma that in rare cases may cause infectious arthritis

   [ image ]





     350
     Show Answer



RHEUM: 50
Score: 190","A: Mycobacterium marinum (accept M. balnei)


 


RHEUM: 50	Score: 190"
"Rheumatology, Endocrinology & Metabolism, Geriatrics",N/A,N/A,"Q: Term for painless detachment of the nail from the nail bed seen in psoriatic arthritis

Show Answer


RHEUM: 10	Score: 0","A: Onycholysis


 


RHEUM: 10	Score: 0"
"Rheumatology, Endocrinology & Metabolism, Geriatrics",N/A,N/A,"Q:
Condition responsible for more than 60% of hospital admissions in those 65 and older

   [ image ]





     310
     Show Answer



GERIAT: 10
Score: 10","A: Pneumonia


 


GERIAT: 10	Score: 10"
"Rheumatology, Endocrinology & Metabolism, Geriatrics",N/A,N/A,"Q:
Most likely cause of primary amenorrhea, lack of secondary sexual characteristics, webbed neck, and short stature

   [ image ]





     220
     Show Answer



ENDO: 20
Score: 20","A: Turner syndrome (accept karyotype 45,X0)


 


ENDO: 20	Score: 20"
"Rheumatology, Endocrinology & Metabolism, Geriatrics",N/A,N/A,"Q: Monoclonal antibody FDA-approved to treat giant cell arteritis

Show Answer


RHEUM: 30	Score: 40","A: Tocilizumab (accept Actemra or TCZ)


 


RHEUM: 30	Score: 40"
"Rheumatology, Endocrinology & Metabolism, Geriatrics",N/A,N/A,"Q:
Vasculitis traditionally associated with a positive 'halo sign' on ultrasound 

   [ image ]





     330
     Show Answer



GERIAT: 30
Score: 70","A: Giant cell arteritis (accept GCA or temporal arteritis)


 


GERIAT: 30	Score: 70"
"Rheumatology, Endocrinology & Metabolism, Geriatrics",N/A,N/A,"Q: Drug class used to treat amiodarone-induced thyroiditis type ll, or destructive thyroiditis

Show Answer


ENDO: 40	Score: 100","A: Glucocorticoids (accept steroids)


 


ENDO: 40	Score: 100"
"Rheumatology, Endocrinology & Metabolism, Geriatrics",N/A,N/A,"Q:
Autoantibody specific to mixed connective tissue disease

   [ image ]





     150
     Show Answer



RHEUM: 50
Score: 140","A: Anti-U1-RNP (accept anti-U1-ribonucleoprotein, okay to omit 'anti')


 


RHEUM: 50	Score: 140"
"Rheumatology, Endocrinology & Metabolism, Geriatrics",N/A,N/A,"Q: Monoclonal antibody approved for mild Alzheimer disease

Show Answer


GERIAT: 50	Score: 190","A: Aducanumab


 


GERIAT: 50	Score: 190"
"Hematology, Nephrology, Pulmonary Medicine",N/A,N/A,"Q: Inborn error of metabolism that precludes use of rasburicase

Show Answer


HEMAT: 10	Score: 0","A: Glucose-6-phosphate dehydrogenase deficiency (accept G6PD deficiency)


 


HEMAT: 10	Score: 0"
"Hematology, Nephrology, Pulmonary Medicine",N/A,N/A,"Q:
Mechanism of hypoxemia with normal A-a gradient in the presence of normal FiO2

   [ image ]





     310
     Show Answer



PULM: 10
Score: 10","A: Hypoventilation


 


PULM: 10	Score: 10"
"Hematology, Nephrology, Pulmonary Medicine",N/A,N/A,"Q:
Antihypertensive class contraindicated in pregnancy as they interfere with renal morphogenesis if taken in the second trimester

   [ image ]





     220
     Show Answer



NEPHRO: 20
Score: 20","A: ACE inhibitor (accept angiotensin II receptor blocker, ARB, AT1 antagonist, renin inhibitor, direct renin inhibitor)


 


NEPHRO: 20	Score: 20"
"Hematology, Nephrology, Pulmonary Medicine",N/A,N/A,"Q:
Hematologic condition for which crizanlizumab is approved to treat

   [ image ]





     130
     Show Answer



HEMAT: 30
Score: 40","A: Sickle cell disease


 


HEMAT: 30	Score: 40"
"Hematology, Nephrology, Pulmonary Medicine",N/A,N/A,"Q:
Occupational pneumoconiosis found in patients working in mining, denim sandblasting, and engineering stone industries

   [ image ]





     330
     Show Answer



PULM: 30
Score: 70","A: Silicosis


 


PULM: 30	Score: 70"
"Hematology, Nephrology, Pulmonary Medicine",N/A,N/A,"Q:
Composition of kidney stone most commonly seen after ileostomy

   [ image ]





     240
     Show Answer



NEPHRO: 40
Score: 100","A: Calcium oxalate


 


NEPHRO: 40	Score: 100"
